,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,10105,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000,19328931,19328931,,1,,,,2023-03-26T19:03:00.000Z,27831.73794,14033784937,-4.0062,-0.03596604,1.79320079,-1.8595645,20.37326278,22.54509578,65.37482095,5.37958E+11,46.3253,5.84466E+11,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
1,1027,Ethereum,ETH,ethereum,6627,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2,122373866.2,,2,,,,2023-03-26T19:03:00.000Z,1767.082014,7257711005,4.6134,-0.01928836,2.16361129,-3.38762674,10.71182151,13.64538892,45.51090711,2.16245E+11,18.6198,2.16245E+11,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
2,825,Tether,USDT,tether,50172,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,79022291663,83091735572,,3,,,,2023-03-26T19:03:00.000Z,1.00080317,22446938377,-5.5746,0.00546591,-0.01040987,-0.18841946,0.07065906,0.06841873,0.08557072,79085759970,6.8095,83158472334,,2023-03-26T19:03:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,05:04.0,
3,1839,BNB,BNB,bnb,1228,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157889566.6,159979963.6,,4,,,,2023-03-26T19:03:00.000Z,327.7056051,369209874.3,-12.6581,-0.00463805,2.03422194,-3.73676752,8.81502115,8.64945254,35.18864891,51741295980,4.455,52426330777,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
4,3408,USD Coin,USDC,usd-coin,11160,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33892162247,33892162247,,5,,,,2023-03-26T19:03:00.000Z,0.99996634,3514922674,-7.9259,0.00408338,0.00765853,0.01731515,0.00483377,-0.017572,-0.00538008,33891021450,2.9183,33891021450,,2023-03-26T19:03:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,05:04.0,
5,52,XRP,XRP,xrp,908,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",1E+11,50950912949,99989113908,,6,,,,2023-03-26T19:03:00.000Z,0.446734603,1253790767,-27.336,-0.38393811,-2.61258896,13.05877664,18.70425079,9.46776726,22.49938916,22761535866,1.9598,44673460295,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
6,2010,Cardano,ADA,cardano,742,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000,34731017778,35608886724,,7,,,,2023-03-26T19:03:00.000Z,0.355991648,227300745,4.4448,0.17341895,0.92811839,1.38385448,-2.59432673,-0.79561282,36.00089767,12363952253,1.0646,16019624156,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
7,3890,Polygon,MATIC,polygon,630,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000,9080469069,10000000000,,8,,,,2023-03-26T19:03:00.000Z,1.095462876,303776439.7,-9.086,-0.1188314,1.09359834,-9.29771158,-14.14025282,13.6041794,36.56394116,9947316760,0.8565,10954628758,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
8,74,Dogecoin,DOGE,dogecoin,665,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,1.32671E+11,1.32671E+11,,9,,,,2023-03-26T19:03:00.000Z,0.074441531,253758021.8,-12.6155,-0.15436907,0.54552022,-2.5517782,-7.80609168,-12.08939091,-1.51528925,9876214807,0.8504,9876214807,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
9,5426,Solana,SOL,solana,444,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,383900471.7,539312704.9,,10,,,,2023-03-26T19:03:00.000Z,20.94563429,247083286.8,-18.6108,0.3706552,2.39992144,-6.19993568,-8.68619235,-11.61423116,87.67644664,8041038883,0.6924,11296246683,,2023-03-26T19:03:00.000Z,,,,,,05:04.0,
